lat,lon,file,offset,enc
20.5411039,125.3999211,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4e4e5,int7
20.5482288,121.2202437,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4cc55,int7
20.5488128,125.3999211,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4e4f5,int7
20.5524048,125.4003650,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1f821,int7
20.5533334,123.7186320,068_pre_free@0xb40000750cdf79b0_325200.bin,0x50a5,int7
20.5537083,125.4064073,068_pre_free@0xb40000750cdf79b0_325200.bin,0x7431,int7
20.5537541,120.3700829,068_pre_free@0xb40000750cdf79b0_325200.bin,0xdb8d,int7
20.5542961,124.5637123,068_pre_free@0xb40000750cdf79b0_325200.bin,0x47029,int7
20.5553119,124.5754754,068_pre_free@0xb40000750cdf79b0_325200.bin,0x37f39,int7
20.6192666,119.6211776,068_pre_free@0xb40000750cdf79b0_325200.bin,0x27b7e,int7
20.7418944,119.1836096,068_pre_free@0xb40000750cdf79b0_325200.bin,0x968b,int7
20.7699206,119.5064844,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3e0fa,int7
20.8378175,122.5663039,068_pre_free@0xb40000750cdf79b0_325200.bin,0x28913,int7
20.9633231,119.0608935,068_pre_free@0xb40000750cdf79b0_325200.bin,0x49ade,int7
21.0124617,122.6981031,068_pre_free@0xb40000750cdf79b0_325200.bin,0x27346,int7
21.0432320,123.3738304,068_pre_free@0xb40000750cdf79b0_325200.bin,0xc137,int7
21.1633728,123.5518398,068_pre_free@0xb40000750cdf79b0_325200.bin,0x18a6f,int7
21.3393472,123.8757056,068_pre_free@0xb40000750cdf79b0_325200.bin,0x140df,int7
21.3744137,120.3737603,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4ae79,int7
21.3766599,123.7228347,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2a3c9,int7
21.3819489,123.7252469,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1dc71,int7
21.3833631,122.8823433,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3f561,int7
21.3867199,125.4064128,068_pre_free@0xb40000750cdf79b0_325200.bin,0xfaf1,int7
21.3876736,120.3701221,068_pre_free@0xb40000750cdf79b0_325200.bin,0x80bd,int7
21.3876736,121.2169036,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1bd75,int7
21.3885530,122.8876605,068_pre_free@0xb40000750cdf79b0_325200.bin,0x209b9,int7
21.3890172,121.2197756,068_pre_free@0xb40000750cdf79b0_325200.bin,0xe579,int7
21.3890627,120.3811119,068_pre_free@0xb40000750cdf79b0_325200.bin,0x22b95,int7
21.3927512,122.8968603,068_pre_free@0xb40000750cdf79b0_325200.bin,0x910d,int7
21.3930458,122.0556772,068_pre_free@0xb40000750cdf79b0_325200.bin,0x29531,int7
21.3952001,120.3780360,068_pre_free@0xb40000750cdf79b0_325200.bin,0x42d51,int7
21.4089600,124.8476983,068_pre_free@0xb40000750cdf79b0_325200.bin,0x22216,int7
21.4547648,120.8627648,068_pre_free@0xb40000750cdf79b0_325200.bin,0xc8df,int7
21.5498036,118.4776064,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3e122,int7
21.5967807,119.1083455,068_pre_free@0xb40000750cdf79b0_325200.bin,0xf237,int7
21.8574399,121.2726206,068_pre_free@0xb40000750cdf79b0_325200.bin,0x18da7,int7
21.8661438,119.3759296,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4c393,int7
21.9037884,124.4381078,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4509a,int7
21.9201201,121.8100775,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1c98a,int7
21.9311936,124.3902527,068_pre_free@0xb40000750cdf79b0_325200.bin,0x400a7,int7
22.0020608,122.7964595,068_pre_free@0xb40000750cdf79b0_325200.bin,0x42796,int7
22.0071101,119.6193983,068_pre_free@0xb40000750cdf79b0_325200.bin,0x13057,int7
22.0610468,118.9232512,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2c9c2,int7
22.0610468,118.9265280,068_pre_free@0xb40000750cdf79b0_325200.bin,0x21bb2,int7
22.0741376,120.4371198,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4157a,int7
22.2202573,122.0509696,068_pre_free@0xb40000750cdf79b0_325200.bin,0x5c4d,int7
22.2265643,121.2190770,068_pre_free@0xb40000750cdf79b0_325200.bin,0x29029,int7
22.2272697,122.8774528,068_pre_free@0xb40000750cdf79b0_325200.bin,0xb315,int7
22.2273440,122.0480379,068_pre_free@0xb40000750cdf79b0_325200.bin,0xadd5,int7
22.2296844,122.8861755,068_pre_free@0xb40000750cdf79b0_325200.bin,0x24489,int7
22.2327995,125.4070789,068_pre_free@0xb40000750cdf79b0_325200.bin,0x7cf1,int7
22.2341594,122.8781103,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4c915,int7
22.3504830,119.6193983,068_pre_free@0xb40000750cdf79b0_325200.bin,0xe7bb,int7
22.3650880,122.0971071,068_pre_free@0xb40000750cdf79b0_325200.bin,0x256c7,int7
22.3667520,120.2199231,068_pre_free@0xb40000750cdf79b0_325200.bin,0x27747,int7
22.5088064,123.7079360,068_pre_free@0xb40000750cdf79b0_325200.bin,0x495ab,int7
22.5897535,122.7577280,068_pre_free@0xb40000750cdf79b0_325200.bin,0xb227,int7
22.6803272,120.8172169,068_pre_free@0xb40000750cdf79b0_325200.bin,0x456aa,int7
22.8671935,123.5049408,068_pre_free@0xb40000750cdf79b0_325200.bin,0x36b27,int7
22.8848704,125.2578240,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3856f,int7
22.9621523,120.1291220,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4396,int7
23.0111807,124.7895742,068_pre_free@0xb40000750cdf79b0_325200.bin,0x479f,int7
23.0132544,119.1192896,068_pre_free@0xb40000750cdf79b0_325200.bin,0x30c57,int7
23.0132544,120.0216639,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3086f,int7
23.0408145,121.2235958,068_pre_free@0xb40000750cdf79b0_325200.bin,0x47446,int7
23.0630632,119.5424997,068_pre_free@0xb40000750cdf79b0_325200.bin,0x9f21,int7
23.0644969,120.3811119,068_pre_free@0xb40000750cdf79b0_325200.bin,0x22b85,int7
23.4967615,124.0172479,068_pre_free@0xb40000750cdf79b0_325200.bin,0x101d7,int7
23.5487176,125.1393595,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4eb9a,int7
23.5830080,124.6515648,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2ea5b,int7
23.7650010,124.3168928,068_pre_free@0xb40000750cdf79b0_325200.bin,0x455f2,int7
23.8901059,125.4143321,068_pre_free@0xb40000750cdf79b0_325200.bin,0x45a19,int7
23.8937710,120.3809335,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4643d,int7
23.8983420,123.7206660,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3ef85,int7
23.9004122,123.7243680,068_pre_free@0xb40000750cdf79b0_325200.bin,0x27e11,int7
23.9049950,120.3810447,068_pre_free@0xb40000750cdf79b0_325200.bin,0xf37d,int7
23.9077022,122.8932374,068_pre_free@0xb40000750cdf79b0_325200.bin,0x43095,int7
23.9078174,120.3735040,068_pre_free@0xb40000750cdf79b0_325200.bin,0x584d,int7
23.9085788,124.5712417,068_pre_free@0xb40000750cdf79b0_325200.bin,0x15825,int7
23.9108205,124.5653526,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4b089,int7
23.9114266,120.3545620,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3977d,int7
23.9120207,125.4017505,068_pre_free@0xb40000750cdf79b0_325200.bin,0x240a5,int7
24.0402445,125.2441755,068_pre_free@0xb40000750cdf79b0_325200.bin,0x57fe,int7
24.2237581,121.8822259,068_pre_free@0xb40000750cdf79b0_325200.bin,0x65c6,int7
24.2696004,124.6936960,068_pre_free@0xb40000750cdf79b0_325200.bin,0x21b8e,int7
24.3179712,120.2676286,068_pre_free@0xb40000750cdf79b0_325200.bin,0x8d4f,int7
24.3220020,123.1175509,068_pre_free@0xb40000750cdf79b0_325200.bin,0x28d66,int7
24.4792502,118.0745600,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3d46e,int7
24.6898495,121.5145789,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3fb0f,int7
24.7331219,119.5343872,068_pre_free@0xb40000750cdf79b0_325200.bin,0x44105,int7
24.7358103,123.7186320,068_pre_free@0xb40000750cdf79b0_325200.bin,0x50a9,int7
24.7365926,119.5371349,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3f399,int7
24.7376049,123.7299080,068_pre_free@0xb40000750cdf79b0_325200.bin,0x549d,int7
24.7378076,124.5628774,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4ba79,int7
24.7379240,121.2193710,068_pre_free@0xb40000750cdf79b0_325200.bin,0x35851,int7
24.7399086,123.7291893,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4e31,int7
24.7400868,122.8970661,068_pre_free@0xb40000750cdf79b0_325200.bin,0x21c81,int7
24.7420258,125.4064128,068_pre_free@0xb40000750cdf79b0_325200.bin,0xc0f9,int7
24.7431168,121.2084023,068_pre_free@0xb40000750cdf79b0_325200.bin,0xac05,int7
24.7442989,125.4064128,068_pre_free@0xb40000750cdf79b0_325200.bin,0x23191,int7
24.7496710,122.8899621,068_pre_free@0xb40000750cdf79b0_325200.bin,0x201b5,int7
24.7502347,118.6808441,068_pre_free@0xb40000750cdf79b0_325200.bin,0xd965,int7
24.7502890,125.4104108,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2b7d5,int7
24.7512915,122.0470322,068_pre_free@0xb40000750cdf79b0_325200.bin,0x20299,int7
24.7775378,119.0150228,068_pre_free@0xb40000750cdf79b0_325200.bin,0x18be2,int7
24.8707904,119.9721662,068_pre_free@0xb40000750cdf79b0_325200.bin,0x16b2f,int7
25.1378833,120.8041202,068_pre_free@0xb40000750cdf79b0_325200.bin,0x159a,int7
25.2591768,121.7412820,068_pre_free@0xb40000750cdf79b0_325200.bin,0x40c6e,int7
25.4459960,120.9745475,068_pre_free@0xb40000750cdf79b0_325200.bin,0x5d86,int7
25.5213750,119.0019199,068_pre_free@0xb40000750cdf79b0_325200.bin,0x141ce,int7
25.5680351,122.8931957,068_pre_free@0xb40000750cdf79b0_325200.bin,0x28e69,int7
25.5722276,119.5407558,068_pre_free@0xb40000750cdf79b0_325200.bin,0x31241,int7
25.5742697,121.2198267,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4bdf1,int7
25.5781270,122.8966340,068_pre_free@0xb40000750cdf79b0_325200.bin,0x434c1,int7
25.5805988,122.8776466,068_pre_free@0xb40000750cdf79b0_325200.bin,0x400b1,int7
25.5813602,122.8861755,068_pre_free@0xb40000750cdf79b0_325200.bin,0x24479,int7
25.5816651,118.6894756,068_pre_free@0xb40000750cdf79b0_325200.bin,0x23c61,int7
25.5831228,118.7010168,068_pre_free@0xb40000750cdf79b0_325200.bin,0xd8a1,int7
25.5851289,124.5628774,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4ba85,int7
25.5863189,124.5749223,068_pre_free@0xb40000750cdf79b0_325200.bin,0x392c1,int7
25.5865013,122.8974476,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2173d,int7
25.5890775,121.2176444,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4b0b9,int7
25.5899801,120.3640633,068_pre_free@0xb40000750cdf79b0_325200.bin,0x37f91,int7
25.6094655,122.1063104,068_pre_free@0xb40000750cdf79b0_325200.bin,0x48e8f,int7
25.6196279,120.9941806,068_pre_free@0xb40000750cdf79b0_325200.bin,0x447ce,int7
25.6523992,125.0345102,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2f24a,int7
25.7540032,118.6971280,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4aa96,int7
25.8162323,122.0263808,068_pre_free@0xb40000750cdf79b0_325200.bin,0x23f2a,int7
26.0189244,120.9512000,068_pre_free@0xb40000750cdf79b0_325200.bin,0x34c43,int7
26.0750948,119.1460986,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3d01a,int7
26.0849577,122.7669376,068_pre_free@0xb40000750cdf79b0_325200.bin,0x228c6,int7
26.1930680,124.2840736,068_pre_free@0xb40000750cdf79b0_325200.bin,0xe3b2,int7
26.2144063,118.8197055,068_pre_free@0xb40000750cdf79b0_325200.bin,0x14967,int7
26.2586232,122.7407232,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3ca96,int7
26.4083969,122.8974476,068_pre_free@0xb40000750cdf79b0_325200.bin,0x21745,int7
26.4193008,118.7016429,068_pre_free@0xb40000750cdf79b0_325200.bin,0x5c91,int7
26.4252045,121.2157009,068_pre_free@0xb40000750cdf79b0_325200.bin,0x24379,int7
26.4288747,125.3931673,068_pre_free@0xb40000750cdf79b0_325200.bin,0x425c5,int7
26.4355261,119.9587264,068_pre_free@0xb40000750cdf79b0_325200.bin,0x999a,int7
26.6747948,122.9078181,068_pre_free@0xb40000750cdf79b0_325200.bin,0x264ae,int7
26.9795495,125.1098621,068_pre_free@0xb40000750cdf79b0_325200.bin,0x10756,int7
26.9860884,123.6615331,068_pre_free@0xb40000750cdf79b0_325200.bin,0x337b6,int7
